Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2016-Jan-05 11:19:02	PI_3	0	2	0	642933	1002	
2016-Jan-05 11:19:04	PI_3	1	2	0	642933	0	
2016-Jan-05 11:19:06	PI_3	2	2	0	642933	0	
2016-Jan-05 11:19:08	PI_3	3	2	0	642933	0	
2016-Jan-05 11:19:10	PI_3	4	2	0	642933	0	
2016-Jan-05 11:19:12	PI_3	5	2	0	642933	0	
2016-Jan-05 11:19:14	PI_3	6	2	0	642933	0	
2016-Jan-05 11:19:16	PI_3	7	2	0	642933	0	
2016-Jan-05 11:19:18	PI_3	8	2	0	642933	0	
2016-Jan-05 11:19:20	PI_3	9	2	0	642933	0	
2016-Jan-05 11:19:22	PI_3	10	2	0	642933	0	
2016-Jan-05 11:19:24	PI_3	11	2	0	642933	0	
2016-Jan-05 11:19:26	PI_3	12	2	0	642933	0	
2016-Jan-05 11:19:28	PI_3	13	2	0	642933	0	
2016-Jan-05 11:19:30	PI_3	14	2	0	642933	0	
2016-Jan-05 11:19:32	PI_3	15	2	0	642933	0	
2016-Jan-05 11:19:34	PI_3	16	2	2	1405754	0	0,1
2016-Jan-05 11:19:36	PI_3	17	2	0	642933	0	
2016-Jan-05 11:19:38	PI_3	18	2	0	642933	0	
2016-Jan-05 11:19:40	PI_3	19	2	0	642933	0	
2016-Jan-05 11:19:42	PI_3	20	2	2	1405754	0	0,1
2016-Jan-05 11:19:44	PI_3	21	2	0	642933	0	
2016-Jan-05 11:19:46	PI_3	22	2	2	1405754	0	0,1
2016-Jan-05 11:19:48	PI_3	23	2	0	642933	0	
2016-Jan-05 11:19:50	PI_3	24	2	0	642933	0	
2016-Jan-05 11:19:52	PI_3	25	2	2	1405754	0	0,1
2016-Jan-05 11:19:54	PI_3	26	2	0	642933	0	
2016-Jan-05 11:19:56	PI_3	27	2	0	642933	0	
2016-Jan-05 11:19:58	PI_3	28	2	0	642933	0	
2016-Jan-05 11:20:00	PI_3	29	2	2	1405754	0	0,1
2016-Jan-05 11:20:02	PI_3	30	2	1	997955	0	0
2016-Jan-05 11:20:04	PI_3	31	2	2	1405754	0	0,1
