Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
2016-Jan-05 11:19:02	PI_4	0	2	0	642933	1000	
2016-Jan-05 11:19:04	PI_4	1	2	0	642933	0	
2016-Jan-05 11:19:06	PI_4	2	2	0	642933	0	
2016-Jan-05 11:19:08	PI_4	3	2	0	642933	0	
2016-Jan-05 11:19:10	PI_4	4	2	0	642933	0	
2016-Jan-05 11:19:12	PI_4	5	2	0	642933	0	
2016-Jan-05 11:19:14	PI_4	6	2	0	642933	0	
2016-Jan-05 11:19:16	PI_4	7	2	0	642933	0	
2016-Jan-05 11:19:18	PI_4	8	2	0	642933	0	
2016-Jan-05 11:19:20	PI_4	9	2	0	642933	0	
2016-Jan-05 11:19:22	PI_4	10	2	0	642933	0	
2016-Jan-05 11:19:24	PI_4	11	2	0	642933	0	
2016-Jan-05 11:19:26	PI_4	12	2	0	642933	0	
2016-Jan-05 11:19:28	PI_4	13	2	0	642933	0	
2016-Jan-05 11:19:30	PI_4	14	2	0	642933	0	
2016-Jan-05 11:19:32	PI_4	15	2	0	642933	0	
2016-Jan-05 11:19:34	PI_4	16	2	2	1405754	0	0,1
2016-Jan-05 11:19:36	PI_4	17	2	0	642933	0	
2016-Jan-05 11:19:38	PI_4	18	2	0	642933	0	
2016-Jan-05 11:19:40	PI_4	19	2	2	1405754	0	0,1
2016-Jan-05 11:19:42	PI_4	20	2	0	642933	0	
2016-Jan-05 11:19:44	PI_4	21	2	2	1405754	0	0,1
2016-Jan-05 11:19:46	PI_4	22	2	0	642933	0	
2016-Jan-05 11:19:48	PI_4	23	2	0	642933	0	
2016-Jan-05 11:19:50	PI_4	24	2	2	1405754	0	0,1
2016-Jan-05 11:19:52	PI_4	25	2	0	642933	0	
2016-Jan-05 11:19:54	PI_4	26	2	0	642933	0	
2016-Jan-05 11:19:56	PI_4	27	2	0	642933	0	
2016-Jan-05 11:19:58	PI_4	28	2	2	1405754	0	0,1
2016-Jan-05 11:20:00	PI_4	29	2	0	642933	0	
2016-Jan-05 11:20:02	PI_4	30	2	2	1405754	0	0,1
2016-Jan-05 11:20:04	PI_4	31	2	2	1405754	0	0,1
2016-Jan-05 11:20:06	PI_4	32	2	0	642933	0	
2016-Jan-05 11:20:08	PI_4	33	2	2	1405754	0	0,1
2016-Jan-05 11:20:10	PI_4	34	2	0	642933	0	
2016-Jan-05 11:20:12	PI_4	35	2	0	642933	0	
2016-Jan-05 11:20:14	PI_4	36	2	2	1405754	0	0,1
2016-Jan-05 11:20:16	PI_4	37	2	2	1405754	0	0,1
2016-Jan-05 11:20:18	PI_4	38	2	0	642933	0	
2016-Jan-05 11:20:20	PI_4	39	2	0	642933	0	
2016-Jan-05 11:20:22	PI_4	40	2	0	642933	0	
2016-Jan-05 11:20:24	PI_4	41	2	0	642933	0	
2016-Jan-05 11:20:26	PI_4	42	2	0	642933	0	
2016-Jan-05 11:20:28	PI_4	43	2	2	1405754	0	0,1
2016-Jan-05 11:20:30	PI_4	44	2	2	1405754	0	0,1
2016-Jan-05 11:20:32	PI_4	45	2	2	1405754	0	0,1
2016-Jan-05 11:20:34	PI_4	46	2	0	642933	0	
2016-Jan-05 11:20:36	PI_4	47	2	2	1405754	0	0,1
2016-Jan-05 11:20:38	PI_4	48	2	0	642933	0	
2016-Jan-05 11:20:40	PI_4	49	2	0	642933	0	
2016-Jan-05 11:20:42	PI_4	50	2	2	1405754	0	0,1
2016-Jan-05 11:20:44	PI_4	51	2	0	642933	0	
2016-Jan-05 11:20:46	PI_4	52	2	2	1405754	0	0,1
2016-Jan-05 11:20:48	PI_4	53	2	0	642933	0	
2016-Jan-05 11:20:50	PI_4	54	2	2	1405754	0	0,1
2016-Jan-05 11:20:52	PI_4	55	2	0	642933	0	
2016-Jan-05 11:20:54	PI_4	56	2	2	1405754	0	0,1
2016-Jan-05 11:20:56	PI_4	57	2	0	642933	0	
2016-Jan-05 11:20:58	PI_4	58	2	0	642933	0	
2016-Jan-05 11:21:00	PI_4	59	2	0	642933	0	
2016-Jan-05 11:21:02	PI_4	60	2	0	642933	0	
2016-Jan-05 11:21:04	PI_4	61	2	0	642933	0	
2016-Jan-05 11:21:06	PI_4	62	2	2	1405754	0	0,1
2016-Jan-05 11:21:08	PI_4	63	2	0	642933	0	
2016-Jan-05 11:21:10	PI_4	64	2	2	1405754	0	0,1
2016-Jan-05 11:21:12	PI_4	65	2	0	642933	0	
2016-Jan-05 11:21:14	PI_4	66	2	2	1405754	0	0,1
2016-Jan-05 11:21:16	PI_4	67	2	0	642933	0	
2016-Jan-05 11:21:18	PI_4	68	2	0	642933	0	
2016-Jan-05 11:21:20	PI_4	69	2	2	1405754	0	0,1
2016-Jan-05 11:21:22	PI_4	70	2	0	642933	0	
2016-Jan-05 11:21:24	PI_4	71	2	0	642933	0	
2016-Jan-05 11:21:26	PI_4	72	2	0	642933	0	
2016-Jan-05 11:21:28	PI_4	73	2	2	1405754	0	0,1
2016-Jan-05 11:21:30	PI_4	74	2	0	642933	0	
2016-Jan-05 11:21:32	PI_4	75	2	2	1405754	0	0,1
2016-Jan-05 11:21:34	PI_4	76	2	0	642933	0	
2016-Jan-05 11:21:36	PI_4	77	2	0	642933	0	
2016-Jan-05 11:21:38	PI_4	78	2	2	1405754	0	0,1
2016-Jan-05 11:21:40	PI_4	79	2	0	642933	0	
2016-Jan-05 11:21:42	PI_4	80	2	2	1405754	0	0,1
2016-Jan-05 11:21:44	PI_4	81	2	0	642933	0	
2016-Jan-05 11:21:46	PI_4	82	2	0	642933	0	
2016-Jan-05 11:21:48	PI_4	83	2	2	1405754	0	0,1
2016-Jan-05 11:21:50	PI_4	84	2	0	642933	0	
2016-Jan-05 11:21:52	PI_4	85	2	0	642933	0	
2016-Jan-05 11:21:54	PI_4	86	2	1	997955	0	0
2016-Jan-05 11:21:56	PI_4	87	2	1	997955	0	0
2016-Jan-05 11:21:58	PI_4	88	2	1	997955	0	0
2016-Jan-05 11:22:00	PI_4	89	2	2	1405754	0	0,1
2016-Jan-05 11:22:02	PI_4	90	2	0	642933	0	
2016-Jan-05 11:22:04	PI_4	91	2	0	642933	0	
2016-Jan-05 11:22:06	PI_4	92	2	0	642933	0	
2016-Jan-05 11:22:08	PI_4	93	2	2	1405754	0	0,1
2016-Jan-05 11:22:10	PI_4	94	2	0	642933	0	
2016-Jan-05 11:22:12	PI_4	95	2	0	642933	0	
2016-Jan-05 11:22:14	PI_4	96	2	0	642933	0	
2016-Jan-05 11:22:16	PI_4	97	2	0	642933	0	
2016-Jan-05 11:22:18	PI_4	98	2	2	1405754	0	0,1
2016-Jan-05 11:22:20	PI_4	99	2	0	642933	0	
2016-Jan-05 11:22:22	PI_4	100	2	0	642933	0	
2016-Jan-05 11:22:24	PI_4	101	2	0	642933	0	
2016-Jan-05 11:22:26	PI_4	102	2	2	1405754	0	0,1
2016-Jan-05 11:22:28	PI_4	103	2	0	642933	0	
2016-Jan-05 11:22:30	PI_4	104	2	2	1405754	0	0,1
2016-Jan-05 11:22:32	PI_4	105	2	0	642933	0	
2016-Jan-05 11:22:34	PI_4	106	2	0	642933	0	
2016-Jan-05 11:22:36	PI_4	107	2	0	642933	0	
2016-Jan-05 11:22:38	PI_4	108	2	0	642933	0	
2016-Jan-05 11:22:40	PI_4	109	2	2	1405754	0	0,1
2016-Jan-05 11:22:42	PI_4	110	2	0	642933	0	
2016-Jan-05 11:22:44	PI_4	111	2	0	642933	0	
2016-Jan-05 11:22:46	PI_4	112	2	2	1405754	0	0,1
2016-Jan-05 11:22:48	PI_4	113	2	2	1405754	0	0,1
2016-Jan-05 11:22:50	PI_4	114	2	0	642933	0	
2016-Jan-05 11:22:52	PI_4	115	2	0	642933	0	
2016-Jan-05 11:22:54	PI_4	116	2	2	1405754	0	0,1
2016-Jan-05 11:22:56	PI_4	117	2	0	642933	0	
2016-Jan-05 11:22:58	PI_4	118	2	2	1405754	0	0,1
2016-Jan-05 11:23:00	PI_4	119	2	0	642933	0	
2016-Jan-05 11:23:02	PI_4	120	2	2	1405754	0	0,1
2016-Jan-05 11:23:04	PI_4	121	2	0	642933	0	
2016-Jan-05 11:23:06	PI_4	122	2	0	642933	0	
2016-Jan-05 11:23:08	PI_4	123	2	0	642933	0	
2016-Jan-05 11:23:10	PI_4	124	2	0	642933	0	
2016-Jan-05 11:23:12	PI_4	125	2	0	642933	0	
2016-Jan-05 11:23:14	PI_4	126	2	2	1405754	0	0,1
2016-Jan-05 11:23:16	PI_4	127	2	0	642933	0	
2016-Jan-05 11:23:18	PI_4	128	2	0	642933	0	
2016-Jan-05 11:23:20	PI_4	129	2	2	1405754	0	0,1
2016-Jan-05 11:23:22	PI_4	130	2	0	642933	0	
2016-Jan-05 11:23:24	PI_4	131	2	2	1405754	0	0,1
2016-Jan-05 11:23:26	PI_4	132	2	0	642933	0	
2016-Jan-05 11:23:28	PI_4	133	2	0	642933	0	
2016-Jan-05 11:23:30	PI_4	134	2	2	1405754	0	0,1
2016-Jan-05 11:23:32	PI_4	135	2	0	642933	0	
